channel_id,category,topic,popularity,language,num_collaborations_x,num_collaborations_y,num_collaborations
UCSHAiurrBke-Kfs8lMPv6CQ,Entertainment,Entertainment,3,en,6,6,6
UCU32e_18BT3uNoVt9qRQVwA,Entertainment,Movies,3,en,1,1,1
UCbvyz6kmUTtJKlBWUwL_yfQ,People & Blogs,Music,3,,3,3,3
UCEEVeH_OhEZ3XOswJbWjrbQ,Entertainment,Music,2,pl,3,3,3
UCM8P1oAFg_k0hUwM2EnBm4w,How-to & Style,Fashion,4,en,2,2,2
UCEVpFPPjuOTEqnm7QzWsImA,Sports,Professional wrestling,3,en,2,2,2
UC9ofrfw5BosPLmHYyXam2Kw,Science & Technology,Technology,2,es,2,2,2
UCcyuPFvThrEcqIqcXnLZTCQ,Gaming,Role-playing video game,2,en,10,10,10
UC-bXlo2JKw9pjM0V0wmGrGA,Gaming,Strategy video game,4,en,1,1,1
UCv1WtbrMDyW_hAefXNeUVkA,People & Blogs,Music,2,en,1,1,1
UCBrV_is2j-XaQShG36QtEKQ,Film & Animation,Children's music,2,ru,2,2,2
UCN_B_D-3J_v0xBodDkWQL2Q,Entertainment,Music,1,pt,1,1,1
UCPeZTzsoQ4iBjfkVbU0ilmg,Comedy,Lifestyle,4,ca,2,2,2
UCdcemy56JtVTrsFIOoqvV8g,Music,Music,3,en,1,1,1
UCAai7LiHuxlvXHLAdLMAGjQ,Gaming,Gaming,3,pt,13,13,13
UCxpF0BjJkIr6-Qq5TJyzgUQ,Gaming,Action game,2,de,1,1,1
UC5U4r2JU9HqCHWqS5wT_moA,How-to & Style,Lifestyle,1,en,1,1,1
UCDMzwEQ08L1UO8Q6todH5SQ,Entertainment,Sports,3,en,1,1,1
UCTY_-ASoCjzuSPXw1E0hQ2A,How-to & Style,Food,2,de,1,1,1
UC3FPb7i09c79CEg8Roe_0Ng,People & Blogs,Lifestyle,1,,1,1,1
UCq52Fv9Jn7js4neFjaju3Fg,Entertainment,Entertainment,3,en,1,1,1
UCHhfSXoDG6gSgpOvLH4wrRw,Gaming,Football,4,en,3,3,3
UCw3UZn1tcVe7pH3R6C3Gcng,Science & Technology,Vehicles,3,en,1,1,1
UCvNqgdEB6B2GpLMvzqWHy9w,People & Blogs,unknown,1,pt,1,1,1
UCpAMOlA_0hFXopIxMq8ar0w,People & Blogs,Action game,4,de,2,2,2
UC9J9cI0Us_zUkpcUJxIMlew,Music,Hip hop music,3,en,1,1,1
UC2MZiyGuWl_w5FC2iF50hcA,Gaming,Gaming,2,pt,1,1,1
UCQZFAQPTQtrFrTu6Hb4vwsw,Gaming,Gaming,3,en,1,1,1
UCqPOHbRVKeBUSjE68aEpQJQ,People & Blogs,Lifestyle,3,en,1,1,1
UCL8R2h2NDAdAJqxMLCo5aMQ,Entertainment,Lifestyle,3,en,1,1,1
UCGzqZb3ndi_O7IwtJGq85TA,How-to & Style,Sports,3,pt,1,1,1
UCbAg65u3LLHe2PU8AXx6Vfw,Entertainment,Society,2,en,1,1,1
UCwaresVx3Phi4okgH4HCK0Q,Gaming,Movies,2,pt,1,1,1
UCg2Ba-ZPaID8OhE8JuBdYig,Comedy,Entertainment,3,en,2,2,2
UCN5Zf3Zyb9Bp9NeqtNwnc5w,Entertainment,Hobby,4,en,1,1,1
UCvOwKoCHcZKyHuGNAezw0LA,How-to & Style,Lifestyle,3,en,1,1,1
UCDJDGQ9LW24SHIRgPEALc3g,Entertainment,Lifestyle,2,,1,1,1
UCJq_tPCypikczQaRdZrhkzA,Entertainment,Entertainment,2,en,3,3,3
UChS9wazLlTUHSTeKVG39hZw,Gaming,Gaming,2,en,4,4,4
UC9gFih9rw0zNCK3ZtoKQQyA,Comedy,Lifestyle,5,fr,2,2,2
UC_ayPEoDRThQY8I6vPQbXMw,Science & Technology,Technology,3,ru,1,1,1
UCeWR-QBn5Pgg72UYrO3FXsQ,Gaming,Action game,2,en,4,4,4
UChbVZfGHS6uV29j0H487DtQ,Gaming,Football,3,fr,3,3,3
UCw30vbNWdpHSgBG8ZdLaTRw,Music,Gaming,2,pt,3,3,3
UCBuUuRAVanvOFTd7krncsyg,Entertainment,Hobby,3,,2,2,2
UCa3eZjczmh0CIMQNTEgVQgw,Comedy,Music,3,en,1,1,1
UCb9ageBPhZYNBU93tnjs-QA,Entertainment,Fitness,3,en,1,1,1
UCHdra1JoQoMS8kuj2zcPWFg,Entertainment,Lifestyle,1,es,1,1,1
UCCprsL2xVSoReeKCCnWkd7Q,Entertainment,unknown,3,de,1,1,1
UCXxg-lKa05v7jahuuQVCfCg,Gaming,Strategy video game,2,pt,1,1,1
UCRjb5Pm3IgvtP7JXuYDomdw,Gaming,Movies,1,en,1,1,1
UCGjRlQ3fT35a8z015A71yTA,Education,Lifestyle,2,es,1,1,1
UCCLsL-KXYaWdY0LvbIh-21g,Gaming,Action game,3,pt,1,1,1
UC59sv-rzZp_WYp-cTj1MpHg,Music,Music,2,en,1,1,1
UCa9jSogtULnuimTt46AZZMw,Gaming,Action game,2,en,3,3,3
UC3_1I-uMQrC_m8MgbIEZh7Q,Entertainment,Movies,2,,2,2,2
UCBAK1zxiH-uuU7TvblsKLGQ,Sports,Basketball,1,en,1,1,1
UCSDAUuvhkbdt7PhcGfTZdEQ,Gaming,Movies,1,en,1,1,1
UCjkb7tcevdNz0Auz2mP3ytA,Comedy,Music,3,pt,3,3,3
UCUNb2rHjhZYz0iMASrcj8kA,People & Blogs,Lifestyle,3,pt,1,1,1
UCkVj3yY58qOJa3K_ipk_67A,People & Blogs,Lifestyle,3,en,4,4,4
UCJ7v_GfFQaVoaPak9_SwR5A,How-to & Style,Performing arts,2,en,1,1,1
UCfRsBmnG5Zv4tFyIVIMInHw,How-to & Style,Lifestyle,3,ru,1,1,1
UCLhLyKIZYf4lCcilMujzXAA,How-to & Style,Fashion,3,en,3,3,3
UCv2SYcLXHrZw4BuF0DG3b1g,Entertainment,Hobby,2,en,4,4,4
UC_drtxXViugebE3bzqjD-Kg,Entertainment,Lifestyle,2,es,1,1,1
UC_9Rt5h1ieQYhLb452SQEoQ,Entertainment,Action game,3,es,1,1,1
UCum7cqUcF_q6PjE8LW5V2Gw,Entertainment,Music,2,id,2,2,2
UCKJZ5id-vvCi9_5ERTmBNHQ,Gaming,Action game,1,uk,3,3,3
UC4PooiX37Pld1T8J5SYT-SQ,Entertainment,Music,5,en,6,6,6
UC-72TRVjrj8EKBrZEg7sjFg,Gaming,Strategy video game,0,en,3,3,3
UCMc-r8lDh-bbN_bhVz8ySEg,How-to & Style,Lifestyle,4,pt,6,6,6
UCKneDiDpM6a1dI-ulzRRIEQ,Education,Music,2,pt,1,1,1
UCPaL0Om2geEJyjncqTGm49A,People & Blogs,Lifestyle,3,pt,5,5,5
UCsUF5-qBO_oZVMQJPl6JxAw,Gaming,Strategy video game,1,en,3,3,3
UCgvuTfjtQ1r_KLLeb6cbe3A,People & Blogs,unknown,3,en,4,4,4
UCI9gIf0scF8jeXziFyXG-Zw,How-to & Style,Fashion,3,en,8,8,8
UCpmqxbTG3VACpw2Hwybi1WA,Gaming,Gaming,2,en,1,1,1
UCFXoX5ItWed_fFWkzhP3WpA,Gaming,Action game,3,en,1,1,1
UCEcjuLw9wMPsAd0tVYa8kCg,Gaming,Action game,3,es,3,3,3
UCW-NL7CT8lQcJz843AAwtZQ,Entertainment,Music,3,pt,3,3,3
UCiWFHBP-d3GNxg_U3NYJKyg,Gaming,Role-playing video game,3,en,1,1,1
UCsl2vIAHvfb8r7ocg325GfQ,People & Blogs,Lifestyle,4,en,7,7,7
UC7RGwnsSAEClqqxJ9MxUhyQ,Comedy,Lifestyle,4,en,2,2,2
UCWmA1pPhzmW4_K7vJED2AlA,Gaming,Strategy video game,3,pt,7,7,7
UCpQbXq-6bWQB-nkr0zrA7rQ,Entertainment,Hobby,0,pt,1,1,1
UC4zS1wbO81p59CxKL7CQAcA,People & Blogs,unknown,3,en,1,1,1
UCnrO0wqhKpMYUt_wSeaIasw,People & Blogs,Lifestyle,4,en,10,10,10
UCrS1153jfo7qLrHng3zkCvQ,People & Blogs,Lifestyle,3,en,2,2,2
UC3RpTX6fEMJ6KBNTTgXJB9w,Entertainment,Lifestyle,5,pt,1,1,1
UCw1UfxJnp1HVvh_QzSbGkog,News & Politics,Music,3,en,4,4,4
UChUjERVG8eKEAJSCef-tTmg,Gaming,Action game,3,ja,2,2,2
UCdytzzF5CY97fQzHQVlHG-A,Sports,Sports,2,en,1,1,1
UCXZ76r6IChsnvLTm5HxJlNQ,Gaming,Football,1,es,1,1,1
UCXhSCMRRPyxSoyLSPFxK7VA,Education,Lifestyle,4,en,1,1,1
UCHEf6T_gVq4tlW5i91ESiWg,Entertainment,Gaming,4,en,10,10,10
UCJPan88gtFeexk9FO0dj-eQ,Gaming,Gaming,3,es,1,1,1
UCtxvq4aq_o6yYQjCXGyuawQ,Comedy,Lifestyle,3,en,2,2,2
UCUl7mwOyySfZzUkq4H29nug,Gaming,Gaming,2,fr,7,7,7
UCKxOb-Q_Cq9bKXqJRDBxGcg,Entertainment,Hip hop music,3,en,2,2,2
UC8c51tOe18ZdRMReEjI2XJg,Education,unknown,3,pt,1,1,1
UC_9nApv279hr4jt_cr3K20w,Gaming,Action game,2,ru,1,1,1
UCEf1OOSM2-o7JYGE4qSzb3A,Gaming,Role-playing video game,3,ro,3,3,3
UCCwlnnSgdZqhg-Py5tUhY0Q,Entertainment,Hip hop music,3,en,1,1,1
UCKHhA5hN2UohhFDfNXB_cvQ,Science & Technology,Food,4,pt,1,1,1
UCyPZEDIu6jV00JDNehz_LUg,Entertainment,Music,3,no,1,1,1
UC-jkG8j18yHJH7ejSnk5Zlw,Gaming,Action game,2,en,1,1,1
UCY6sgQsLw2JzTNxoslopJhA,People & Blogs,Lifestyle,1,,1,1,1
UC946Z7LqPaIogX3GNN2Moqg,Gaming,Movies,3,en,7,7,7
UCWM4-DHJVGJUyfi3S21Mp_A,Entertainment,Music,1,pt,1,1,1
UCAsMIu8JRvINkUa09iyS2Cw,People & Blogs,Entertainment,4,en,2,2,2
UCUrH0l0UiATVLWJIKJ4VxWg,Entertainment,Lifestyle,3,pt,1,1,1
UCtGZ6Ph-C56xZ1luEJAjsGw,Music,Music,2,en,1,1,1
UCtu2BCnJoFGRBOuIh570QWw,Gaming,Role-playing video game,3,,2,2,2
UCD3EMFelc4s3TmDm4EX9Xvg,Science & Technology,Technology,2,pt,2,2,2
UC_pZxiIq8BRJwG55Wt83WOw,Entertainment,unknown,4,en,3,3,3
UCvibIOAFw_PNWTXZtaVL_hw,Gaming,Vehicles,3,ru,5,5,5
UCaUwlJEE3Vxsw0eIG15xBiw,Gaming,Basketball,2,en,1,1,1
UCQMFJQrFdtsYuJvCRQj1zDA,People & Blogs,Hobby,3,en,1,1,1
UCiccskB2pQEmGhk9cC9o46g,Gaming,Role-playing video game,2,pt,1,1,1
UC7UUrKshr-x0a5rqa4qxzrQ,Gaming,Gaming,3,pt,18,18,18
UCJIDRMDo-fb2y_zykKIlJ3Q,Entertainment,unknown,2,en,1,1,1
UCC_r3spMB5i5QKgtdNVO0OQ,Comedy,Lifestyle,4,fr,2,2,2
UCfUVI1ShNdkYyXPnGGIS06g,Gaming,Gaming,1,ru,3,3,3
UC-exz3M1efabysAyd90ekNQ,People & Blogs,Movies,2,en,3,3,3
UC8aTvyjY38Qf5rS1xBOWI3w,Entertainment,Lifestyle,3,pt,2,2,2
UC7nLpU9hf_QjLSxmKCeZ68Q,People & Blogs,Lifestyle,2,,2,2,2
UCO9opgS6New-oZ_u0ad2YkQ,Gaming,Technology,1,pt,1,1,1
UChBHyDKtLs_IzggAjvklP3Q,Comedy,Music,3,fr,3,3,3
UC9bL4ENTXvGXe2P89VsSgcg,Gaming,Action game,2,es,4,4,4
