cluster,from,from_category,from_cluster,from_network,from_popularity,from_topic,to,to_category,to_cluster,to_network,to_popularity,to_topic,videos,weight,max_impact,Unnamed: 0
3840,UCR1aFO8kPS2WgdOfvU0zpag,People & Blogs,"[""3840""]",Fullscreen,3,Lifestyle,UCPvHfZ4tmjeBXo8cIpv60vg,How-to & Style,"[""4234""]",Studio71,3,Lifestyle,"['CWqs4MFT-Ek', 'LumVfN3W5h0']",2,5.239365804438016,2983.0
9704,UCLFw1YLKGrlK2lBi1PwGlrg,Entertainment,"[""9704""]",jypentertainment,1,Music of Asia,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,['pKeLYAV_rCM'],1,0.5492044778507896,1009.0
3104,UCvmpOQfPsIrxO0NI5slLDwQ,Film & Animation,"[""3104"", ""8757""]",Studio71,3,Entertainment,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,"['4p5HUPh5Yd8', 'Lq36_tPc4lQ', 'YUfxIRpCIbg', '_YiDXfR9tQY', 'kj80W3mm0mg', 'pKeLYAV_rCM']",6,0.5492044778507896,2739.0
3840,UCR1aFO8kPS2WgdOfvU0zpag,People & Blogs,"[""3840""]",Fullscreen,3,Lifestyle,UCPvHfZ4tmjeBXo8cIpv60vg,How-to & Style,"[""4234""]",Studio71,3,Lifestyle,"['CWqs4MFT-Ek', 'LumVfN3W5h0']",2,5.239365804438016,2983.0
9704,UCLFw1YLKGrlK2lBi1PwGlrg,Entertainment,"[""9704""]",jypentertainment,1,Music of Asia,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,['pKeLYAV_rCM'],1,0.5492044778507896,1009.0
3104,UCvmpOQfPsIrxO0NI5slLDwQ,Film & Animation,"[""3104"", ""8757""]",Studio71,3,Entertainment,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,"['4p5HUPh5Yd8', 'Lq36_tPc4lQ', 'YUfxIRpCIbg', '_YiDXfR9tQY', 'kj80W3mm0mg', 'pKeLYAV_rCM']",6,0.5492044778507896,2739.0
4814,UCHa-hWHrTt4hqh-WiHry3Lw,Entertainment,"[""1973"", ""4814""]",Social Blade Legacy,4,Hobby,UCUuU7X-e2ZRNOoBG3Cy8txw,People & Blogs,"[""813"", ""7051""]",Social Blade Legacy,4,Hobby,"['aWYTVh3XDTk', 'duTUbrvG2lo', 'fk8oOvYDNr4', 'hNkKUAZfJBk', 'uLCL4Nydamc', 'w8STN-Zerio', 'xeY1ma3IxkQ']",7,19.554273554029198,3374.0
4345,UCx0x2_DpGMO0mSQwWPFSwCw,Science & Technology,"[""4345""]",Maker Studios,2,Technology,UCpeJ5_1dzVxAPMehXCXL19A,Science & Technology,"[""7108""]",,2,Technology,['LClqOMlLvtA'],1,0.7250525977782643,1876.0
7727,UCE8tUeSgY2xlE5ZPCjl-S1w,Entertainment,"[""7727""]",BroadbandTV,3,Hobby,UCIyBJyajKYaG-iPc78M2geg,Entertainment,"""""",BroadbandTV,4,Hobby,"['9reBtYPn1eI', 'QkrcSnEwvck']",2,1.9260448389353544,708.0
7727,UCE8tUeSgY2xlE5ZPCjl-S1w,Entertainment,"[""7727""]",BroadbandTV,3,Hobby,UC6MtPHJ6axc8iXPmHYLqC-A,Entertainment,"[""3909"", ""11975""]",BroadbandTV,4,Lifestyle,"['r17no63r1h4', 'sHTbGsBHSC0']",2,1.9260448389353544,709.0
11975,UC6MtPHJ6axc8iXPmHYLqC-A,Entertainment,"[""3909"", ""11975""]",BroadbandTV,4,Lifestyle,UCIyBJyajKYaG-iPc78M2geg,Entertainment,"""""",BroadbandTV,4,Hobby,"['1OGC6BDZp2g', '3z7gEPCYhKc', '4mwo0GtGd2w', '8NnKSahjVos', '9reBtYPn1eI', 'BSepfe2aWz8', 'CzOOdFtajuI', 'NN_t-sV0UF0', 'QkrcSnEwvck', 'Z9hA07cAem4', '_zzd_iC4zDk', 'd2yUFEiMmoQ', 'eCH2pyhdzhE', 'hOzsA5CXvJg', 'wqYJ14icn2Q', 'z5eWnxuC0AE']",16,1.9260448389353544,2436.0
4333,UC6paX0kLA8D81aYogceMufw,Entertainment,"[""1476"", ""4333""]",,4,Lifestyle,UCqDauP_ke8Lwt8Hg3Xv-8Iw,Entertainment,"[""3548""]",,4,Hobby,"['JdXJLwkyAFc', 'o6or89D9fWo']",2,2.0101843863718334,2469.0
8254,UCiTxWhcBqrRp3NZCEpKbXiA,Entertainment,"[""2970"", ""8254""]",,3,Movies,UC9aFSe6WyEiQD_PqsVHH1PA,Entertainment,"""""",BroadbandTV,4,Fashion,['C-mf5czan4w'],1,-13.63293501458282,793.0
7093,UCUXGFgupozBh278Nrue-cAw,People & Blogs,"[""5727"", ""5728"", ""7093""]",BroadbandTV,3,Lifestyle,UC9aFSe6WyEiQD_PqsVHH1PA,Entertainment,"""""",BroadbandTV,4,Fashion,"['39NH2p7M2Q0', '3ep7Thf9-jM', '4tc-p5IrT6M', '5BNLbviCaUs', '6d2q3YdUoUU', '8A_3nuVMN0c', 'C-mf5czan4w', 'E7yiUUSQwe4', 'JzbzMKTMeWo', 'L-sjHZjFPtY', 'N8ppoxfvz_8', 'NaeZ9aiOV3g', 'OY6c-Le52b8', 'SCO8VDvqZKY', 'TY6rvORU0So', 'Tkxx6MTFtVw', 'gerTF6v4lcE', 'h4PEfe7kCpc', 'vnLyQBm_1NY', 'wCnqAS0Ktgs', 'xmK3wfoD5rY']",21,-13.63293501458282,2975.0
5346,UCI9gIf0scF8jeXziFyXG-Zw,How-to & Style,"[""5345"", ""5346"", ""7162""]",Maker Studios,3,Fashion,UCcvyrMTBxOKIMy161pT5oYg,People & Blogs,"[""9319""]",Maker Studios,1,Food,['o9ioKsc2Jqk'],1,-36.63810907261539,1218.0
5542,UCG0E3naN7D-bgldOJvGHbtg,How-to & Style,"[""5542"", ""12686""]",Studio71,4,Fashion,UC1r80brC9Uya5IGR0dFru8Q,People & Blogs,"""""",Studio71,3,Lifestyle,"['2aObza62sbc', '4wipaJ2Dtg4', '80fQiKffmlY', '9cDqPhZwjWs', 'FCtnV3kOvNo', 'NOHVAVfiA54', 'VAlt32UuGcU', 'i2utFMAzgDc', 'ndZfzY6l_RE']",9,3.1226560943233554,165.0
1685,UC9oOvCsrSGpX1Hl2cIJXYLw,Entertainment,"[""1685"", ""3438"", ""6773"", ""6774"", ""6775"", ""6776"", ""6777"", ""6778"", ""6779"", ""6780"", ""6781"", ""6782"", ""6784"", ""6785"", ""6786"", ""6787"", ""6788"", ""6789"", ""6790"", ""6791"", ""6792"", ""6793"", ""6795"", ""6796"", ""6914"", ""6915"", ""6916"", ""6917"", ""6918"", ""6919"", ""6921"", ""6922"", ""6923"", ""6924"", ""6925"", ""6926"", ""6927"", ""6928"", ""6929"", ""6930"", ""6931"", ""6932"", ""6933"", ""6934"", ""6935""]",Studio71,2,Gaming,UCIPVJoHb_A5S3kcv3TJlyEg,People & Blogs,"[""8382"", ""8383"", ""8384"", ""10914"", ""11135"", ""12294""]",BroadbandTV,4,Action game,['tdsNqpOLbA0'],1,-16.489602717651266,24.0
13423,UCPxk93OrpZV4MA7Hm_f12bw,People & Blogs,"[""887"", ""10143"", ""13423""]",BroadbandTV,2,Movies,UCjHaZoGnsfn_NR70eFuilDA,People & Blogs,"[""12300"", ""12540""]",Mitu,3,,['bvY8Ojzq0WM'],1,2.24057407710092,2800.0
3840,UCR1aFO8kPS2WgdOfvU0zpag,People & Blogs,"[""3840""]",Fullscreen,3,Lifestyle,UCPvHfZ4tmjeBXo8cIpv60vg,How-to & Style,"[""4234""]",Studio71,3,Lifestyle,"['CWqs4MFT-Ek', 'LumVfN3W5h0']",2,5.239365804438016,2983.0
9704,UCLFw1YLKGrlK2lBi1PwGlrg,Entertainment,"[""9704""]",jypentertainment,1,Music of Asia,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,['pKeLYAV_rCM'],1,0.5492044778507896,1009.0
3104,UCvmpOQfPsIrxO0NI5slLDwQ,Film & Animation,"[""3104"", ""8757""]",Studio71,3,Entertainment,UCRy_iMj99l70hgxoakinicA,People & Blogs,"[""2639""]",Studio71,2,Lifestyle,"['4p5HUPh5Yd8', 'Lq36_tPc4lQ', 'YUfxIRpCIbg', '_YiDXfR9tQY', 'kj80W3mm0mg', 'pKeLYAV_rCM']",6,0.5492044778507896,2739.0
4814,UCHa-hWHrTt4hqh-WiHry3Lw,Entertainment,"[""1973"", ""4814""]",Social Blade Legacy,4,Hobby,UCUuU7X-e2ZRNOoBG3Cy8txw,People & Blogs,"[""813"", ""7051""]",Social Blade Legacy,4,Hobby,"['aWYTVh3XDTk', 'duTUbrvG2lo', 'fk8oOvYDNr4', 'hNkKUAZfJBk', 'uLCL4Nydamc', 'w8STN-Zerio', 'xeY1ma3IxkQ']",7,19.554273554029198,3374.0
4345,UCx0x2_DpGMO0mSQwWPFSwCw,Science & Technology,"[""4345""]",Maker Studios,2,Technology,UCpeJ5_1dzVxAPMehXCXL19A,Science & Technology,"[""7108""]",,2,Technology,['LClqOMlLvtA'],1,0.7250525977782643,1876.0
7727,UCE8tUeSgY2xlE5ZPCjl-S1w,Entertainment,"[""7727""]",BroadbandTV,3,Hobby,UCIyBJyajKYaG-iPc78M2geg,Entertainment,"""""",BroadbandTV,4,Hobby,"['9reBtYPn1eI', 'QkrcSnEwvck']",2,1.9260448389353544,708.0
7727,UCE8tUeSgY2xlE5ZPCjl-S1w,Entertainment,"[""7727""]",BroadbandTV,3,Hobby,UC6MtPHJ6axc8iXPmHYLqC-A,Entertainment,"[""3909"", ""11975""]",BroadbandTV,4,Lifestyle,"['r17no63r1h4', 'sHTbGsBHSC0']",2,1.9260448389353544,709.0
11975,UC6MtPHJ6axc8iXPmHYLqC-A,Entertainment,"[""3909"", ""11975""]",BroadbandTV,4,Lifestyle,UCIyBJyajKYaG-iPc78M2geg,Entertainment,"""""",BroadbandTV,4,Hobby,"['1OGC6BDZp2g', '3z7gEPCYhKc', '4mwo0GtGd2w', '8NnKSahjVos', '9reBtYPn1eI', 'BSepfe2aWz8', 'CzOOdFtajuI', 'NN_t-sV0UF0', 'QkrcSnEwvck', 'Z9hA07cAem4', '_zzd_iC4zDk', 'd2yUFEiMmoQ', 'eCH2pyhdzhE', 'hOzsA5CXvJg', 'wqYJ14icn2Q', 'z5eWnxuC0AE']",16,1.9260448389353544,2436.0
4333,UC6paX0kLA8D81aYogceMufw,Entertainment,"[""1476"", ""4333""]",,4,Lifestyle,UCqDauP_ke8Lwt8Hg3Xv-8Iw,Entertainment,"[""3548""]",,4,Hobby,"['JdXJLwkyAFc', 'o6or89D9fWo']",2,2.0101843863718334,2469.0
8254,UCiTxWhcBqrRp3NZCEpKbXiA,Entertainment,"[""2970"", ""8254""]",,3,Movies,UC9aFSe6WyEiQD_PqsVHH1PA,Entertainment,"""""",BroadbandTV,4,Fashion,['C-mf5czan4w'],1,-13.63293501458282,793.0
7093,UCUXGFgupozBh278Nrue-cAw,People & Blogs,"[""5727"", ""5728"", ""7093""]",BroadbandTV,3,Lifestyle,UC9aFSe6WyEiQD_PqsVHH1PA,Entertainment,"""""",BroadbandTV,4,Fashion,"['39NH2p7M2Q0', '3ep7Thf9-jM', '4tc-p5IrT6M', '5BNLbviCaUs', '6d2q3YdUoUU', '8A_3nuVMN0c', 'C-mf5czan4w', 'E7yiUUSQwe4', 'JzbzMKTMeWo', 'L-sjHZjFPtY', 'N8ppoxfvz_8', 'NaeZ9aiOV3g', 'OY6c-Le52b8', 'SCO8VDvqZKY', 'TY6rvORU0So', 'Tkxx6MTFtVw', 'gerTF6v4lcE', 'h4PEfe7kCpc', 'vnLyQBm_1NY', 'wCnqAS0Ktgs', 'xmK3wfoD5rY']",21,-13.63293501458282,2975.0
5346,UCI9gIf0scF8jeXziFyXG-Zw,How-to & Style,"[""5345"", ""5346"", ""7162""]",Maker Studios,3,Fashion,UCcvyrMTBxOKIMy161pT5oYg,People & Blogs,"[""9319""]",Maker Studios,1,Food,['o9ioKsc2Jqk'],1,-36.63810907261539,1218.0
5542,UCG0E3naN7D-bgldOJvGHbtg,How-to & Style,"[""5542"", ""12686""]",Studio71,4,Fashion,UC1r80brC9Uya5IGR0dFru8Q,People & Blogs,"""""",Studio71,3,Lifestyle,"['2aObza62sbc', '4wipaJ2Dtg4', '80fQiKffmlY', '9cDqPhZwjWs', 'FCtnV3kOvNo', 'NOHVAVfiA54', 'VAlt32UuGcU', 'i2utFMAzgDc', 'ndZfzY6l_RE']",9,3.1226560943233554,165.0
