from,to,video_id,video_timestamp
UCq6VFHwMzcMXbuKyG7SQYIg,UCmA-0j6DRVQWo4skl8Otkiw,['khyg5YJlLPI'],"[Timestamp('2017-01-11 14:00:04+0000', tz='UTC')]"
UCq6VFHwMzcMXbuKyG7SQYIg,UCCYHZKyLdUnT7BsGfCQgQ-Q,['qP8HTuEu7BY'],"[Timestamp('2017-01-09 22:00:01+0000', tz='UTC')]"
UClpEE-Led9ZK0GJQKvU--3Q,UCIKF1msqN7lW9gplsifOPkQ,['On4GE5hAU8s'],"[Timestamp('2017-02-11 17:10:18+0000', tz='UTC')]"
UClpEE-Led9ZK0GJQKvU--3Q,UCcLLDqqgjHoFaNkNdIrf_FA,['hAvpa3iyrsM'],"[Timestamp('2017-01-16 18:00:39+0000', tz='UTC')]"
UClpEE-Led9ZK0GJQKvU--3Q,UC3M4u8_WwqY-2xDbJXxo5eQ,"['4cEkXTIcvH4', '_kOwJy1fOuQ']","[Timestamp('2017-03-25 11:29:30+0000', tz='UTC'), Timestamp('2017-01-14 19:18:51+0000', tz='UTC')]"
UCZApDB9BW7ZjNcPb3Wu7rRg,UCU1nH5X8eC0aD3PkveRjjgw,['WvCaYRRL9F8'],"[Timestamp('2017-02-12 19:25:05+0000', tz='UTC')]"
UCMDz09-3zO1hm1pqRA-Er0A,UC3fxB7rF6T7wqymKUJxwmXA,['C7Waq5ZgqGU'],[NaT]
UC_GIy4IHw-LShuhcjJ6n9jg,UCE6yrKCbfZ-C-8Sbl1LoYhg,['VNXJbRvu8zE'],"[Timestamp('2017-01-24 19:24:03+0000', tz='UTC')]"
UC_GIy4IHw-LShuhcjJ6n9jg,UC5l6twzfConuZFkGA_GYrtw,"['2LAQMtZKpw8', 'KxWE0NJ96eg', 'hnbtt8DTrXI', 'pz8DhJZxbhQ']","[Timestamp('2017-01-20 21:00:00+0000', tz='UTC'), Timestamp('2017-02-20 21:00:01+0000', tz='UTC'), Timestamp('2017-01-27 21:00:01+0000', tz='UTC'), Timestamp('2017-02-27 21:00:01+0000', tz='UTC')]"
UCUcBFGAfOzut1x4GSWa6Akg,UCCk_JV7ar8HlxWZRXQKgS7w,['RJir4ghyTDo'],"[Timestamp('2017-03-12 06:57:23+0000', tz='UTC')]"
UCi7TVXyvrIwqeS9tfYD8UDA,UCvGiJYBPgVP7W1ypE3DKOqA,['bWtjQIbp08c'],"[Timestamp('2017-03-08 21:30:00+0000', tz='UTC')]"
UCLFTOcssnu2LGS3FxGA5tsQ,UCOPYJ7o7p-i5xT6pvlX-7ng,['Vur2PfNlI_Q'],[NaT]
UCLFTOcssnu2LGS3FxGA5tsQ,UC7Rrbm84x8RK0OkKlHpmiUQ,['dB50g5a1Dx8'],[NaT]
UCo9ExXwpxwBaYRM4mkD_J4A,UCTvRo7ZqONvaTvh0lG2UYxA,['EQtp4c2QBqk'],[NaT]
UCo9ExXwpxwBaYRM4mkD_J4A,UCD3_qHEhy1nPls0l2NZhCEA,['syFKneGDzEQ'],"[Timestamp('2017-02-01 14:00:08+0000', tz='UTC')]"
