cluster,from,videos
220,UCq6VFHwMzcMXbuKyG7SQYIg,"[""khyg5YJlLPI""]"
11097,UCq6VFHwMzcMXbuKyG7SQYIg,"[""qP8HTuEu7BY""]"
5556,UClpEE-Led9ZK0GJQKvU--3Q,"[""On4GE5hAU8s""]"
5556,UClpEE-Led9ZK0GJQKvU--3Q,"[""hAvpa3iyrsM""]"
5556,UClpEE-Led9ZK0GJQKvU--3Q,"[""4cEkXTIcvH4"", ""_kOwJy1fOuQ""]"
10681,UCZApDB9BW7ZjNcPb3Wu7rRg,"[""WvCaYRRL9F8""]"
6135,UCMDz09-3zO1hm1pqRA-Er0A,"[""C7Waq5ZgqGU""]"
10352,UC_GIy4IHw-LShuhcjJ6n9jg,"[""VNXJbRvu8zE""]"
12975,UC_GIy4IHw-LShuhcjJ6n9jg,"[""2LAQMtZKpw8"", ""KxWE0NJ96eg"", ""hnbtt8DTrXI"", ""pz8DhJZxbhQ""]"
1367,UCUcBFGAfOzut1x4GSWa6Akg,"[""RJir4ghyTDo""]"
7444,UCi7TVXyvrIwqeS9tfYD8UDA,"[""bWtjQIbp08c""]"
13426,UCLFTOcssnu2LGS3FxGA5tsQ,"[""Vur2PfNlI_Q""]"
13426,UCLFTOcssnu2LGS3FxGA5tsQ,"[""dB50g5a1Dx8""]"
8407,UCo9ExXwpxwBaYRM4mkD_J4A,"[""EQtp4c2QBqk""]"
12758,UCo9ExXwpxwBaYRM4mkD_J4A,"[""syFKneGDzEQ""]"
10243,UCo9ExXwpxwBaYRM4mkD_J4A,"[""AVNlxjv7Yvo""]"
10243,UCo9ExXwpxwBaYRM4mkD_J4A,"[""9Ewtl2sASU4""]"
5191,UCo9ExXwpxwBaYRM4mkD_J4A,"[""3WIrb4FvjhI""]"
292,UCo9ExXwpxwBaYRM4mkD_J4A,"[""dRDEBaMa2YA""]"
13216,UCo9ExXwpxwBaYRM4mkD_J4A,"[""LSj5HI2qesw""]"
2202,UCzNq9i-DlDDBLjPerVzJW-A,"[""ECbwCuN-5FE""]"
4509,UCjtLOfx1yt1NlnFIDyAX3Ug,"[""0Fj5uDNGyg8""]"
4509,UCjtLOfx1yt1NlnFIDyAX3Ug,"[""8NGNWUcjmxQ""]"
4509,UCjtLOfx1yt1NlnFIDyAX3Ug,"[""oF_Rf5t6boA""]"
1685,UC9oOvCsrSGpX1Hl2cIJXYLw,"[""tdsNqpOLbA0""]"
11173,UCPkNbKzLDGcD1F02Lgdgs2g,"[""5qfmGkAECFk""]"
3976,UCvgFF5Nt0JVbpcVzetV7XCA,"[""5iek4LiMRx8""]"
3976,UCvgFF5Nt0JVbpcVzetV7XCA,"[""8g6ndDE0MYA"", ""OZXkX368Nsg"", ""mze0QYK4GQE"", ""rULUEf9faJo""]"
3976,UCvgFF5Nt0JVbpcVzetV7XCA,"[""SgH19fwSjKo""]"
580,UCi1S0Cx-hfDV1w25N3l_0dw,"[""7VQEk6SSAjU""]"
1166,UCi1S0Cx-hfDV1w25N3l_0dw,"[""aCDN1pAEJaQ""]"
5536,UCi1S0Cx-hfDV1w25N3l_0dw,"[""HJv-ZTMd7k8""]"
10152,UC4fLWR5uoe66S8spSO3V0gw,"[""f9fnYaT_X-k"", ""t1dE2rNOF9s""]"
10152,UC4fLWR5uoe66S8spSO3V0gw,"[""bhdwPrUcO_A""]"
10152,UC4fLWR5uoe66S8spSO3V0gw,"[""96yuR2Yi3m8""]"
10152,UC4fLWR5uoe66S8spSO3V0gw,"[""3Z0GQ2Ma8O8"", ""57iu7iXWY04""]"
4082,UCRn1bCS4MnYXQkFTTHdNyMA,"[""-x3LutVAV14"", ""BGodFlkmmm8"", ""GGNcuhKh6PY"", ""kI2PD4cl2Z4""]"
4082,UCRn1bCS4MnYXQkFTTHdNyMA,"[""-QzhouA4x-8""]"
10640,UCyeVfsThIHM_mEZq7YXIQSQ,"[""-eaNR0tVZkk"", ""012en7bL0p0"", ""1KpLDC8W5jg"", ""5J_50xxITno"", ""6XoC3-aDN4M"", ""6nWE6RkeTgI"", ""7K5D7j9Eb6Y"", ""7yFGleDcSEU"", ""8-BrUHxO4UU"", ""9QetCNkbfBE"", ""A-FPzmfHee0"", ""B7X1M94qjrM"", ""DTya-Jbd6Hg"", ""HJ3lMCDyr2o"", ""HeHC0WlHC_I"", ""IOut7pYgBMA"", ""IwrQFar1B4U"", ""KpkQbnCPv_w"", ""KvwOXyHVLNg"", ""NBgjMkObPmI"", ""NENvvgcoVRg"", ""OWQz2VjltT0"", ""PTGzolusEI8"", ""QaDgeSr2RrA"", ""SkSmtpmkXKU"", ""SvSNshPNQnI"", ""T7XFQ6KSMkk"", ""UdZSGd35qQY"", ""W1wI48Ok2v4"", ""XmUvlHTX-9w"", ""Z7Qzke8R1g8"", ""e4IzWgWp9cQ"", ""f27O3MNjYsA"", ""iNxPdm8lqDE"", ""jzorGG5LfSw"", ""k2S5I7DVnF0"", ""kamx-pZKe2w"", ""onGICftOxIM"", ""pp7BccKNJoQ"", ""u5qkiuy7NdE"", ""zyUXJ3Sf1UU""]"
10640,UCyeVfsThIHM_mEZq7YXIQSQ,"[""B154_5CKYN4"", ""CQ-VqkKqvnU"", ""CjDcpM-G6DM"", ""Ua4mvGz5Gxw"", ""WbFvacx5W08"", ""ezE9ffg13gU"", ""snRnWILLwDI"", ""xuD1egfYRVM""]"
6529,UCgtgMd3z_Boj_QABLbLlabw,"[""ClzENBgP4mk"", ""Yswj0L7SAps""]"
6529,UCgtgMd3z_Boj_QABLbLlabw,"[""ErPLxspxjiI"", ""zqbraVsveCw""]"
11195,UC_drtxXViugebE3bzqjD-Kg,"[""XKOEfXxoeYA""]"
3544,UCrGnb5RdHA9M6WGmBGYo4ZQ,"[""gt27CYq2J1k""]"
2337,UCrGnb5RdHA9M6WGmBGYo4ZQ,"[""VTqYYPLu-ks""]"
1693,UCY9f2Rinm3jXBv_R97Uc0Lg,"[""DjzOgRmchDk"", ""qPboo6SErf0""]"
11110,UCi844f7R7YxdWXEAo7Tkk7Q,"[""6t10zCike1g"", ""77JsEDZ6EYc"", ""7jnQa8GADQQ"", ""LLULkmbZdcw"", ""OrsW0wq9HTw"", ""Sx96f5fbx3w"", ""VLj_xJwrxVE"", ""hKSAui6le38"", ""sP7Ao0JZTB0""]"
5291,UCy8WPFE1WEsCJYcYuzZpeXg,"[""5o4hLxAYe7Y"", ""BJT0exh7LGQ"", ""CCzv6Vv25qM"", ""CQMSjkXT-dM"", ""Pg2P2z9NDXY"", ""PvI0ajv6oFg"", ""ZK0ll9kINMU"", ""dFT6WDJqljA"", ""nZUeMjJSR2Q"", ""q23yJCFmnnM"", ""q3hQmfRioCU"", ""tcNI0cR_FXk"", ""xR_06CQvCx4""]"
405,UCC5kum96eeAdJGfizULP4lw,"[""3_428gPQpSQ""]"
4536,UC-V2ze2c4s7rV4neMd7ZS-w,"[""V0DNGTuQaik""]"
13476,UC7h_KLzf87ftHCkc1AfYwUQ,"[""d7deIbHe8dk""]"
7542,UCISkC3KkwYtXWDp91SXeE4A,"[""Fb7nUgxx8YA""]"
7504,UCjpgDLE5LGOpzX2igCKAdSQ,"[""2Q1njDjF9qs"", ""3bxQWPW3kJk"", ""69uoID1vs0Y"", ""IuX_eylOJPA"", ""N9cNhMKhVqI"", ""OOm6awL63cI""]"
8096,UCEM_hWIHsSWHR45cVRh7_vQ,"[""WtX9jh9y-PE"", ""tylULC2Z93E""]"
11091,UCr6n2gOy_WwuXFm-YjC28GQ,"[""JwAEMo8LA68""]"
2142,UC5pmjxKYia6W0kr9Q4vZT7w,"[""2O09IbmVgRk""]"
